review,voted_up,created_at
FUN!,1,2026-05-20 14:06:45
its a movie,1,2026-05-20 14:02:14
gulu gulu,1,2026-05-20 13:47:16
cac,1,2026-05-20 13:38:08
heck yeah,1,2026-05-20 12:27:53
26374758i5678678968989678969784563563563456,1,2026-05-20 12:26:11
UNOPTIMIZED old junky battle royale do yourself a favor and just play apex or warzone....,0,2026-05-20 12:11:43
i like playing this game,1,2026-05-20 12:06:02
good,1,2026-05-20 11:18:07
"Realistic Shooter
first person aspect is nice",1,2026-05-20 11:16:20
LIKE,1,2026-05-20 10:32:29
Slop,0,2026-05-20 10:30:19
this game suck,0,2026-05-20 09:37:21
Even tho I met Minimum it crashes 5 mins after loading completely pointless,0,2026-05-20 09:19:03
Always time for a little friendly head clicking.,1,2026-05-20 08:56:58
"good
",1,2026-05-20 08:44:54
Its a good game,1,2026-05-20 06:31:49
dfsd,1,2026-05-20 05:53:45
"Just annoying in general, because you are just running to get a gun then BAM a guy snipes you from 1000m away",0,2026-05-20 05:03:09
༼ つ ◕_◕ ༽つ BUSHIDO TAKE MY ENERGY ༼ つ ◕_◕ ༽つ,1,2026-05-20 03:39:04
love the game,1,2026-05-20 03:36:51
CRAP GAME,0,2026-05-20 03:35:36
Where is POKAMOLODOY in PAYDAY Streamer Challange leaderboards when he should be ranking first? And why such nonames like MADARAWASTAKEN have the ability to trashtalk them out of this challange?,0,2026-05-20 03:21:10
its good,1,2026-05-20 02:59:57
С пивком потянет!,1,2026-05-20 02:53:05
"Мне нравится эта игра, спасибо!",1,2026-05-20 02:47:58
best game ever!,1,2026-05-20 02:38:15
fun,1,2026-05-20 01:52:27
:),1,2026-05-20 01:33:24
"ragequiting everyday
",1,2026-05-20 00:33:06
"Today is completely unplayable i can run VS Code and several Claude agents fine but just start the game for minutes already made everything lags and FPS drops, even open task manager takes 30s. WHAT THE HELL IS GOING ON?",0,2026-05-20 00:03:27
.,1,2026-05-19 23:50:32
Really good game,1,2026-05-19 23:47:26
♥♥♥♥ game never matchmakes with same level player how the ♥♥♥♥ iam supposed to kill 500 lvl players in each match,0,2026-05-19 23:40:14
GOOD GAME GNG,1,2026-05-19 23:26:49
so many hackers,0,2026-05-19 22:37:30
good game,1,2026-05-19 21:51:19
game nhu cc,0,2026-05-19 21:10:22
Not really,1,2026-05-19 20:58:30
Goooooooooodddd,1,2026-05-19 20:18:57
Krafton is an absolute ♥♥♥♥ show,0,2026-05-19 20:00:53
Good Game to Play,1,2026-05-19 19:49:44
my laptop not blown up,1,2026-05-19 19:34:11
not fun but fun,0,2026-05-19 19:33:09
niceuuuuu,1,2026-05-19 19:17:35
Fun and challenging,1,2026-05-19 19:13:59
no,0,2026-05-19 17:48:54
Pretty Fun but there is a lot of bots,1,2026-05-19 17:47:36
good game,1,2026-05-19 16:45:52
"Buggy ♥♥♥♥ tier game. Full of hackers, dev don't care. I honestly hope the whole team gets nuked. 1/10 dont even waste your space on your computer.",0,2026-05-19 16:30:11
DEAD GAME,0,2026-05-19 16:02:04
♥♥♥♥ game,0,2026-05-19 15:41:45
third person is lame,1,2026-05-19 09:17:27
"I killed 3 people in close combat with a crowbar and a sickle before entering the street, getting in a car, and getting chased down by 4 Mad Max looking fellas in a larger car who had exponentially more firepower than me. This game has its moments, needs better servers and bot control.",1,2026-05-19 09:05:01
awful just... why do i play this...,0,2026-05-19 08:12:24
boklu oyun,0,2026-05-19 06:43:13
it is a fun shooting game and fun!!!!!!!,1,2026-05-19 06:37:46
"underrated game, I think most of the bad reviews are from players who used to play this game when it was in a better state than it currently is, and that's valid, the game is not quite as good as it used to be but it's still a pretty fun game. They kind of did what fortnite did though, and they started doing a lot of collabs and adding super bright colored cosmetics and it really changed the feel of the game a bit. The big problem for me is how many bots there are in each lobby; For newer/returning players there can be up to over 80 bots in a game. Out of 100 players. That's absolutely insane. Still super fun, definitely over-monetized, way too many bots in each lobby, but still can be a pretty fun and intense experience.",1,2026-05-19 06:31:19
Buns,0,2026-05-19 06:27:46
"My dear frying pan.
You are a strong weapond and a good shield. You are comfortable to hold and i can throw you far far away.
You can deal and tank damage. Including friendly fire.",1,2026-05-19 06:26:01
like,1,2026-05-19 06:16:56
"i got hacked ♥♥♥♥♥♥
",0,2026-05-19 05:47:22
"♥♥♥♥
",1,2026-05-19 05:27:45
very good,1,2026-05-19 05:12:41
gudgud gem,1,2026-05-19 04:35:44
"The clear battle royale goat. One of the all time classics next to CSGO, AOE2, GTA san andreas - a pillar of gaming.

Good move to have returned the map select feature",1,2026-05-19 04:08:28
"Do not even try play that game. 9 year game full of bug ,no optimization ,more and more. about cheaters i have no word ranked play this is terrible. they just running all over the map and kill without even hiding and no one bans them because they donate to the game 
P.S game dead let it stay that way.",0,2026-05-19 04:07:15
goodgame,1,2026-05-19 04:05:38
A,1,2026-05-19 03:54:57
"peace of ♥♥♥♥, playable",1,2026-05-19 03:52:21
"Brutally hard, people have had plenty of time to master the game, so the learning curve is steep. great game though.",1,2026-05-19 02:48:22
"normal game, but would arather see some military uniforms instead of latex penguin suits.
",1,2026-05-19 02:24:26
bring me luck and fack me hard,1,2026-05-19 02:07:23
"Trash 

If you value yourself and your state of mind don’t play it.
don’t recommend.",0,2026-05-19 01:15:18
PUBG PC is A very Good game for all time.,1,2026-05-19 01:07:02
cheaters and bots,0,2026-05-19 00:43:21
Ching chang chu,1,2026-05-19 00:28:08
gud gud,1,2026-05-19 00:17:31
too many cheat,1,2026-05-18 23:50:18
oah,1,2026-05-18 23:36:19
pergi main woi,1,2026-05-18 23:28:13
pubg,1,2026-05-18 23:23:35
There are hardly ten percent of players in this game who are not cheaters.,0,2026-05-18 23:21:19
Fun to play with friends. The mach making is fast.,1,2026-05-18 22:38:44
",olpkm.",0,2026-05-18 21:42:37
it's playable,1,2026-05-18 21:20:49
"TUYE
",1,2026-05-18 21:01:23
"hey guys.
welcome me in your community.",1,2026-05-18 20:20:00
The worst Battle passes ever and the stuff in the shop are terrible as well.,0,2026-05-18 20:00:26
"Would love to play the Game but i wont install Windows to do so.

Enable Linux Anti cheat and make the game playable!",0,2026-05-18 19:51:29
Classic.,1,2026-05-18 18:14:36
Very Bad Game,0,2026-05-18 17:32:49
惊险刺激的体验 每次情况不同 感觉也不一样,1,2026-05-18 16:50:52
hi,1,2026-05-18 16:48:44
"so many crashes, so many bugs, and too benefit mainland ping",0,2026-05-18 16:48:37
a little annoying sometimes because of cheaters but other than that its good.,1,2026-05-18 15:41:08
I hope they really focus on solving the hacking problem in this game. I really like this game (even tho I'm suck). I really hope this game keeps growing. Really don't wanna see it die or be called a dead game,1,2026-05-18 15:00:45
i liked the payday ltm but they should make that a full game,0,2026-05-18 15:00:41
ggg,1,2026-05-18 13:21:43
''''''',1,2026-05-18 12:44:25
"Nothing humbles you faster than spending 15 minutes looting only to get instantly sent back to lobby by a level 500 player using iron sights and pure hatred.

Peak human suffering. Peak gaming.",1,2026-05-18 12:44:08
1,1,2026-05-18 12:03:49
How isn't this supported on Linux? As if id install any more p2p games on windows. Not worth it in this case.,0,2026-05-18 11:32:37
Gay,0,2026-05-18 11:25:48
pretty fun.,1,2026-05-18 11:00:10
"very good game, the store/micro transactions is the worst thing ever, like 50 different currencys complicate tf outta it",1,2026-05-18 10:06:20
"It aged like a fine wine.

All things beside, everything got better when they implemented team mate tags for calling them back from death.",1,2026-05-18 09:54:09
"There is a severe lack of variety in this game, and I think everyone playing could agree with me on that. They should introduce more animal cosmetics, specifically catering to players with a dragon persona, along with military gear and anime-style outfits. Furthermore, letting us change the colors of clothing, weapons, and certain animals without altering their core style would be an amazing feature.
​On top of that, PUBG needs a dedicated money-match game mode, similar to Warzone's Plunder. It would be something new and actually fun, especially for people who just want to go around shooting or sniping without a short countdown timer and a closing circle. Everyone would love a mode where you collect cash for match upgrades, and PUBG would make a massive amount of money if they finally added these kinds of features.",0,2026-05-18 09:35:39
"TRASh
",0,2026-05-18 09:19:32
"Game is movement and combat feel super clunky, they havent updated it sense it came out instead added a bunch of micro transactions. not a good game at all.",0,2026-05-18 09:15:25
great,1,2026-05-18 08:52:46
"favorite battle royale game
",1,2026-05-18 08:15:04
"Perfect game before it was free and the cheaters came.

PUBG: Where you land thinking you’re a stealthy sniper, but somehow die to a guy with a frying pan. Intense, chaotic, and oddly satisfying every time you survive… for five seconds.",1,2026-05-18 07:31:35
"Lots of HACKERS and the Graphics are pretty BAD! 
PLUS how does a frying pan STOP A BULLET?
",0,2026-05-18 07:21:16
LESS CHEATERS  and fun fact game,1,2026-05-18 06:42:32
"There is a severe lack of variety in this game, and I think everyone playing could agree with me on that. They should introduce more animal cosmetics, specifically catering to players with a dragon persona, along with military gear and anime-style outfits. Furthermore, letting us change the colors of clothing, weapons, and certain animals without altering their core style would be an amazing feature.
​On top of that, PUBG needs a dedicated money-match game mode, similar to Warzone's Plunder. It would be something new and actually fun, especially for people who just want to go around shooting or sniping without a short countdown timer and a closing circle. Everyone would love a mode where you collect cash for match upgrades, and PUBG would make a massive amount of money if they finally added these kinds of features.",0,2026-05-18 05:59:49
really good fun,1,2026-05-18 05:29:35
G,1,2026-05-18 05:08:45
Just started playing and already loving the challenge. Died a lot but finally got my first few kills 😂,1,2026-05-18 04:37:33
PUBG is frustrating shi sometimes but addictive AF,1,2026-05-18 04:08:55
the girls,1,2026-05-18 03:50:53
j,1,2026-05-18 03:13:25
,1,2026-05-18 02:50:14
"There is a severe lack of variety in this game, and I think everyone playing could agree with me on that. They should introduce more animal cosmetics, specifically catering to players with a dragon persona, along with military gear and anime-style outfits. Furthermore, letting us change the colors of clothing, weapons, and certain animals without altering their core style would be an amazing feature.
​On top of that, PUBG needs a dedicated money-match game mode, similar to Warzone's Plunder. It would be something new and actually fun, especially for people who just want to go around shooting or sniping without a short countdown timer and a closing circle. Everyone would love a mode where you collect cash for match upgrades, and PUBG would make a massive amount of money if they finally added these kinds of features.",0,2026-05-18 02:21:53
мяу,1,2026-05-18 02:07:40
The only issue I have is that it doesn't have the skill based matchmaking,1,2026-05-18 02:04:50
нормалды,0,2026-05-18 02:02:37
niceeee game just wow,1,2026-05-18 01:52:10
Simple and Good.,1,2026-05-18 01:38:31
"cheaters rampant, at least a dozen in every single match without fail, do not play",0,2026-05-18 00:52:07
tf games keep disconnect me,0,2026-05-18 00:43:01
itis sou good game,1,2026-05-18 00:12:27
my dear gamer friends I invite you to uninstall and boycott this ♥♥♥♥♥♥ game I bet that if it hadn't been released in 2017 during the battle royale hype this game would have quickly disappeared other games deserve our attention,0,2026-05-18 00:08:29
nicee,1,2026-05-17 23:28:18
"Okay, this game has stayed true to the ""Barefoot War"" style gameplay... if you know what I mean and keeps the bs to a minimum... being mechanics are simple, based on positioning and timing, aim and not much luck other than don't be on a potato for a pc.",1,2026-05-17 23:05:45
.,0,2026-05-17 22:59:58
"This game make me scary
",1,2026-05-17 22:54:25
very good 10/10,1,2026-05-17 21:47:58
niga,0,2026-05-17 21:31:21
"It has no support for Linux. Since most of the gamers are right now transitioning to Linux as it is a superior operative system with a superior native API (Vulkan) integration, it is very important that KRAFTON is able to observe this change. PUBG has always been my favorite game (I bought it). But right now I must remove it from my account since It has no Linux support. Since I won't go back to Windows, I know that I won't be able to play this game anymore, and I will have to play others. I have been so active that I've been doing purchases as gifts for my friends. So it is really sad for me to have to send this review and say goodbye to PUBG. I hope that one day KRAFTON is able to give full support to Linux. Thanks for all.",0,2026-05-17 21:13:36
"is a mess. The game runs like a brick even on mid‑range PCs optimization feels like it was never a priority. While cheaters exist, the bigger problem is how clunky and punishing the gameplay is, especially for beginners. You’ll spend more time fighting the engine than enjoying the match. Save yourself the headache.",1,2026-05-17 21:07:51
